aop_elements,aop_elements_id,sort,mark1,mark2,mark3,mark4,mark5,Acronym,Trendency,Label
"KE4 : Uncoupling, eNOS",932,KE,Uncoupling,eNOS,,,,,Uncoupling,Y
"KE6 : Depletion, Nitric Oxide",933,KE,Depletion,Nitric Oxide,,,,,Depletion,Y
"KE3 : Decrease, Tetrahydrobiopterin",934,KE,Decrease,Tetrahydrobiopterin,,,,,Decrease,Y
"KE2 : Decrease, GTPCH-1",935,KE,Decrease,GTPCH-1,,,,GTPCH-1,Decrease,Y
"KE7 : Impaired, Vasodilation",937,KE,Impairment,Vasodilation,,,,,Impairment,Y
"Activation, EGFR",941,MIE,Activation,EGFR,,,,EGFR,Activation,Y
"dimerization, AHR/ARNT",944,KE,Dimerization,AHR,ARNT,,,AHR/ARNT,Dimerization,Y
"reduced dimerization, ARNT/HIF1-alpha",945,KE,reduction,dimerization,ARNT,HIF1-alpha,,HIF1,Reduction,Y
"Increase, Early Life Stage Mortality",947,KE,Increase,Early Life Stage,Mortality,,,,Increase,Y
"Increase, Early Life Stage Mortality",947,AO,Increase,Early Life Stage,Mortality,,,,Increase,Y
"reduced production, VEGF",948,KE,reduction,VEGF,,,,VEGF,Reduction,Y
Hypertension,952,AO,Hypertension,,,,,,Hypertension,Y
"Binding, Transthyretin in serum",957,MIE,Binding,Transthyretin,serum,,,,Binding,Y
"Displacement, Serum thyroxine (T4) from transthyretin",958,KE,Displacement,Serum thyroxine,transthyretin,,,T4,Displacement,Y
"Increased, Free serum thyroxine (T4)",959,KE,Increase,Free serum thyroxine,T4,,,T4,Increase,Y
"Increased, Uptake of thyroxine into tissue",960,KE,Increase,thyroxine,Uptake,,,,Increase,Y
"Increased, Clearance of thyroxine from tissues",961,KE,Increase,thyroxine,Clearance,,,,Increase,Y
"Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle between diestrus 2 and proestrus inhibits aromatase conversion of testosterone to estradiol",964,MIE,Inhibition,Aromatase Enzyme,Chemical exposure during critical window of estrous cycle between diestrus 2,proestrus inhibits aromatase conversion of testosterone to estradiol,,,Inhibition,Y
"reduction in ovarian granulosa cells synthesis of estradiol, Reduced steroidogenic production of estradiol in granulosa cells",965,KE,reduction,ovarian granulosa cells synthesis of estradiol,steroidogenic production of estradiol in granulosa cells,,,,Reduction,Y
"Reduced Estradiol in Circulation, Reduced steroidogenic production of estradiol in granulosa cells leading to decreased estradiol in circulation",966,KE,reduction,Estradiol in Circulation,steroidogenic production of estradiol in granulosa cells,decreased estradiol in circulation,,,Reduction,Y
"Decreased positive estrogenic feedback on hypothalamus, Reduced estradiol in circulation decreases estrogen concentration at hypothalamus",967,KE,Decrease,positive estrogenic feedback on hypothalamus,Reduction,estradiol in circulation decreases estrogen concentration at hypothalamus,,,Decrease,Y
"Decreased Kisspeptin release from neurons in AVPV, Decreased hypothalamic estrogen reduces kisspeptinergic neuron response ",968,KE,Decrease,Kisspeptin release from neurons in AVPV,hypothalamic estrogen reduces kisspeptinergic neuron response,,,,Decrease,Y
"Decreased GnRH Release, Decreased Kisspeptin stimulation of GnRH neurons ",969,KE,Decrease,GnRH Release,Kisspeptin stimulation of GnRH neurons,,,,Decrease,Y
"Decreased LH release from Anterior Pituitary, Decreased GnRH stimulation of Anterior Pituitary Gonadotrophs",970,KE,Decrease,LH release from Anterior Pituitary,GnRH stimulation of Anterior Pituitary Gonadotrophs,,,LH,Decrease,Y
"Ovulation of oocytes Reduced, Delayed, or Blocked, Decrease or delay in LH surge required for ovulation ",971,KE,reduction,delay,blocking,Ovulation of oocytes,LH surge required for ovulation,,Decrease,Y
"Decreased fertility, Reduced number of oocytes ovulated ",972,AO,Decreased fertility,Reduced number of oocytes ovulated ,,,,,Decrease,Y
"Interference, nuclear localization of NFAT",979,KE,Interference,NFAT,nuclear localization,,,,Antagonism,Y
"Inhibition, Calcineurin Activity",980,MIE,Inhibition,Calcineurin Activity,,,,,Inhibition,Y
"Reduction, NFAT/AP-1 complex formation",981,KE,Reduction,NFAT,complex formation,AP-1,,NFAT/AP-1,Reduction,Y
"Impairment, T-cell dependent antibody response",984,AO,Impairment,T-cell dependent antibody response,,,,,Impairment,Y
"Increase, Increased susceptibility to infection",986,AO,Increase,susceptibility,infection,,,,Increase,Y
"Decrease, Circulating ecdysis triggering hormone",988,KE,Decrease,Circulating ecdysis triggering hormone,,,,,Decrease,Y
"Binding of antagonist, PPAR alpha",998,MIE,Binding,antagonist,PPAR alpha,,,PPAR ,Binding,Y
"stabilization, PPAR alpha co-repressor",1000,KE,stabilization,PPAR alpha,co-repressor,,,PPAR ,stabilization,Y
"Increased, Developmental Defects",1001,AO,Increase,Developmental Defects,,,,,Increase,Y
"Inhibition, Deiodinase 2",1002,MIE,Inhibition,Deiodinase 2,,,,,Inhibition,Y
"Decreased, Triiodothyronine (T3) in serum",1003,KE,Decrease,Triiodothyronine,,serum,,T3,Decrease,Y
"Reduced, Posterior swim bladder inflation",1004,KE,reduction,Posterior swim bladder,inflation,,,,Reduction,Y
"Reduced, Swimming performance",1005,KE,reduction,Swimming performance,,,,,Reduction,Y
"Reduced, Young of year survival",1006,KE,reduction,Young of year,survival,,,,Reduction,Y
"Reduced, Anterior swim bladder inflation",1007,KE,reduction,Anterior swim bladder,inflation,,,,Reduction,Y
"Inhibition, Deiodinase 1",1009,MIE,Inhibition,Deiodinase 1,,,,,Inhibition,Y
"Increased, Inhibitory postsynaptic potential",1012,KE,Increase,postsynaptic potential,Inhibitory,,,,Increase,Y
"Induction, Somatic muscle paralysis",1014,KE,Induction,Somatic muscle paralysis,,,,,Induction,Y
"Increased, Neuronal synaptic inhibition",1015,KE,Increase,Neuronal synaptic,inhibition,,,,Increase,Y
"Inhibition, Feeding",1016,KE,Inhibition,Feeding,,,,,Inhibition,Y
"Activation, Glutamate-gated chloride channels",1018,MIE,Activation,Glutamate-gated chloride channels,,,,,Activation,Y
"Induction, pharyngeal muscle paralysis",1019,KE,Induction,pharyngeal muscle paralysis,,,,,Induction,Y
"Increased, induction of UDPGT's in liver",1020,KE,Increase,UDPGT's in liver,induction,,,,Increase,Y
"Increased, T4/T3 catabolism",1021,KE,Increase,T4 catabolism,T3 catabolism,,,T4/T3,Increase,Y
"Decreased, serum T4/T3",1022,KE,Decrease,serum T4,serum T3,,,T4/T3,Decrease,Y
"Increased, Thyroid-stimulating hormone (TSH)",1023,KE,Increase,Thyroid-stimulating hormone,TSH,,,TSH,Increase,Y
"Increased, Hypertrophy and proliferation (follicular cell)",1024,KE,Increase,Hypertrophy,,follicular cell,,,Increase,Y
"Increased, Hyperplasia (follicular cells)",1025,KE,Increase,Hyperplasia,follicular cells,,,,Increase,Y
"Increased Apoptosis, Adenomas/carcinomas (follicular cell)",1026,AO,Increase,Apoptosis,Adenomas,carcinomas,follicular cell,,Increase,Y
"Activation of specific nuclear receptors, PPAR-gamma activation",1028,MIE,Activation,specific nuclear receptors,PPAR-gamma,,,PPAR ,Activation,Y
"Activation of specific nuclear receptors, PPAR-gamma activation",1028,KE,Activation,specific nuclear receptors,PPAR-gamma,,,PPAR ,Activation,Y
"Increased, adipogenesis",1029,KE,Increase,adipogenesis,,,,,Increase,Y
"Increased, secretion of local growth factors",1032,KE,Increase,secretion,local growth factors,,,,Increase,Y
"Increased, proliferation of mesenchymal cells",1033,KE,Increase,proliferation,mesenchymal cells,,,,Increase,Y
"Increased, IGF-1 (mouse)",1034,KE,Increase,IGF-1,mouse,,,IGF-1,Increase,Y
"Increased, Firbrosarcoma",1035,KE,Increase,Firbrosarcoma,,,,,Increase,Y
"Increased, liposarcoma",1036,KE,Increase,liposarcoma,,,,,Increase,Y
"Activation, beta-2 adrenergic receptor",1038,MIE,Activation,beta-2 adrenergic receptor,,,,,Activation,Y
"Increased activity, beta-2 adrenergic receptor",1039,KE,Increase,beta-2 adrenergic receptor,,,,,Increase,Y
"relaxation, smooth muscle",1040,KE,relaxation,smooth muscle,,,,,relaxation,Y
"Proliferation/Clonal Expansion, smooth muscle",1042,KE,Proliferation,Clonal Expansion,smooth muscle,,,,Proliferation,Y
"Hypertrophy/hyperplasia, smooth muscle",1043,KE,Hypertrophy,hyperplasia,smooth muscle,,,,Hypertrophy,Y
"Promotion, mesovarian leiomyomas",1044,AO,Promotion,mesovarian leiomyomas,,,,,Promotion,Y
"Decreased, Ovarian E2",1045,KE,Decrease,Ovarian E2,,,,,Decrease,Y
"Suppression, Estrogen receptor (ER) activity",1046,KE,Suppression,Estrogen receptor activity,ER activity,,,ER,Suppression,Y
"Increased, secretion of GnRH from hypothalamus",1047,KE,Increase,secretion of GnRH,hypothalamus,,,GnRH,Increase,Y
"Increased, secrection of FSH from anterior pituitary",1049,KE,Increase,secrection of FSH,anterior pituitary,,,FSH,Increase,Y
"Increased, secretion of LH from anterior pituitary",1050,KE,Increase,secretion of LH,anterior pituitary,,,LH,Increase,Y
"Hyperplasia, ovarian stromal cells",1051,KE,Hyperplasia,ovarian stromal cells,,,,,Hyperplasia,Y
"Promotion, ovarian adenomas",1053,AO,Promotion,ovarian adenomas,,,,,Promotion,Y
"Promotion, ovarian granular cell tumors",1054,AO,Promotion,ovarian granular cell tumors,,,,,Promotion,Y
"Increased, PPAR-alpha activation",1057,KE,Increase,PPAR-alpha activation,,,,PPAR ,Increase,Y
"Decreased, bile flow",1058,KE,Decrease,bile flow,,,,,Decrease,Y
"Increased, cholestasis",1059,KE,Increase,cholestasis,,,,,Increase,Y
"Alteration, lipid metabolism",1060,KE,Alteration,lipid metabolism,,,,,Alteration,Y
"prolonged, elevation of serun CCK",1061,KE,prolongation,elevation,serun CCK,,,,prolongation,Y
"Increased, Cellular proliferation / hyperplasia of acinar cells",1062,KE,Increase,Cellular proliferation,hyperplasia,acinar cells,,,Increase,Y
"Increased, Pancreatic acinar tumors",1063,AO,Increase,Pancreatic acinar tumors,,,,,Increase,Y
"prepubertal increase, Estrogen receptor (ER) activity",1064,MIE,Increase,Estrogen receptor activity,ER activity,,,ER,Increase,Y
"Activation, estrogen receptor alpha",1065,KE,Activation,estrogen receptor alpha,,,,ER,Activation,Y
"Promotion, SIX-1 postive basal-type progenitor cells",1066,KE,prolongation,SIX-1 postive basal-type progenitor cells,,,,,prolongation,Y
"Proliferation/Clonal Expansion, aberrant basal cells",1067,KE,prolongation,Clonal Expansion,aberrant basal cells,,,,prolongation,Y
"squamous metaplasia, aberrant basal cells",1068,KE,prolongation,aberrant basal cells,,,,,prolongation,Y
"Increased, Hyperplasia (glandular epithelial cells of endometrium)",1069,KE,Increase,Hyperplasia,glandular epithelial cells of endometrium,,,,Increase,Y
"Increased, adenosquamous carcinomas of endometrium",1070,AO,Increase,adenosquamous carcinomas of endometrium,,,,,Increase,Y
"Decreased, GnRH pulsatility/release in hypothalamus",1071,KE,Decrease,GnRH pulsatility,GnRH release,hypothalamus,,GnRH,Decrease,Y
"Decreased, LH Surge from anterior pituitary",1072,KE,Decrease,LH Surge,anterior pituitary,,,LH,Decrease,Y
"interruption, Ovulation",1074,KE,interruption,Ovulation,,,,,interruption,Y
"prolonged, estrus",1075,KE,prolongation,estrus,,,,,prolongation,Y
"Increased, circulating estrogen levels",1076,KE,Increase,estrogen levels,,,,,Increase,Y
"Increased, prolactin exposure",1077,KE,Increase,prolactin exposure,,,,,Increase,Y
"Increased, Adenomas/carcinomas (mammary)",1079,AO,Increase,Adenomas,carcinomas,mammary,,,Increase,Y
"Increased, latency period",1080,KE,Increase,latency period,,,,,Increase,Y
"Increased, lactotroph hyperplasia and hypertrophy",1081,KE,Increase,lactotroph hyperplasia,lactotroph hypertrophy,,,,Increase,Y
"Increased, adenomas (pituitary)",1082,AO,Increase,adenomas,pituitary,,,,Increase,Y
"Decreased, Dopaminergic activity",1083,KE,Decrease,Dopaminergic activity,,,,,Decrease,Y
"Increased, prolactin secretion",1084,KE,Increase,prolactin secretion,,,,,Increase,Y
"Increased, hyperplasia (mammary gland)",1085,KE,Increase,hyperplasia,mammary gland,,,,Increase,Y
"persistent, cytotoxicity (pleura or peritoneum)",1086,KE,Persistence,cytotoxicity,pleura,peritoneum,,,Persistence,Y
"Increased, inflammation",1087,KE,Increase,inflammation,,,,,Increase,Y
"Increased, Oxidative Stress",1088,KE,Increase,Oxidative Stress,,,,,Increase,Y
"Increased, Cell Proliferation (mesothelium)",1089,KE,Increase,Cell Proliferation,mesothelium,,,,Increase,Y
"Increased, mesotheliomas",1090,AO,Increase,mesotheliomas,,,,,Increase,Y
"Decreased, Thyroxine (T4) in tissues",1093,KE,Decrease,Thyroxine,T4,tissues,,T4,Decrease,Y
"Increased, blood uric acid concentration",1096,KE,Increase,blood uric acid concentration,,,,,Increase,Y
"Occurrence, renal proximal tubular necrosis",1097,KE,Occurrence,renal proximal tubular,necrosis,,,,Occurrence,Y
"Increased, blood potassium concentration",1098,KE,Increase,blood potassium concentration,,,,,Increase,Y
"Altered, Amphibian metamorphosis",1101,AO,Alteration,Amphibian metamorphosis,,,,,Alteration,Y
"Occurrence, tophi (urate) deposition",1102,KE,Occurrence,tophi,urate,deposition,,,Occurrence,Y
"Inhibition, Cyclooxygenase 1 activity",1103,MIE,Inhibition,Cyclooxygenase 1 activity,,,,,Inhibition,Y
"Decreased, Prostaglandin F2alpha concentration, plasma ",1104,KE,Decrease,Prostaglandin F2alpha concentration,plasma ,,,,Decrease,Y
"Occurrence, renal ischemia",1105,KE,Occurrence,renal ischemia,,,,,Occurrence,Y
"Occurrence, cardiac arrhythmia",1106,KE,Occurrence,cardiac arrhythmia,,,,,Occurrence,Y
"Weakened, Colony",1107,KE,weakening,Colony,,,,,weakening,Y
"Abnormal, Role change within caste",1108,KE,abnormality,Role change within caste,,,,,abnormality,Y
"Increased, Deformed Wing Virus levels",1109,KE,Increase,Deformed Wing Virus levels,,,,,Increase,Y
"Increased, Energetic demands and therefore metabolic stress",1110,KE,Increase,Energetic demands,metabolic stress,,,,Increase,Y
"Increased, Reactive oxygen species",1115,KE,Increase,Reactive oxygen species,ROS,,,ROS,Increase,Y
"Decreased, Triiodothyronine (T3) in tissues",1116,KE,Decrease,Triiodothyronine,,tissues,,T3,Decrease,Y
"Under carboxylated clotting factors will not assemble on cell surfaces to form clot, Failure of secondary hemostasis  ",1122,KE,Failure,secondary hemostasis  ,Under carboxylated clotting factors,,,,,Y
"Failure in vascular repair mechanisms, Unresolved blood loss (hemorrhage)",1130,KE,Failure,vascular repair mechanisms,Unresolved blood loss,hemorrhage,,,,Y
"Failure in gamma-glutamyl carboxylation of  clotting factors II, VII, IX and X, Under carboxylation of clotting factors (e.g., des-gamma-carboxy prothrombin) ",1131,KE,Failure,"gamma-glutamyl carboxylation of  clotting factors II, VII, IX and X",Under carboxylation of clotting factors,des-gamma-carboxy prothrombin,,,,Y
"Blood loss and development of anemia, Impaired oxygen delivery and nutrient delivery to tissue, impaired carbon dioxide and waste product removal",1132,KE,Impairment,oxygen delivery and nutrient delivery to tissue,carbon dioxide and waste product removal,Blood loss,development of anemia,,Impairment,Y
"Hemostasis, Depletion from blood of fully functional carboxylated clotting factors",1133,KE,Depletion,Hemostasis,blood of fully functional carboxylated clotting factors,,,,Depletion,Y
"Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone",1134,MIE,inhibition,hepatic VKOR by binding of AR at tyrosine 139,Failure,cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone,,,Inhibition,Y
"Reduced fitness or even mortality, Acidosis, hypovolemic shock and organ dysfunction",1135,KE,Reduction,Mortality,Acidosis,hypovolemic shock,organ dysfunction,,Reduction,Y
"Impaired recruitment , Population trajectory",1136,AO,Impairment,recruitment,Population trajectory,,,,Impairment,Y
"Uncoupling of oxidative phosphorylation, Reduced ability to generate ATP",1138,MIE,Reduction,"Uncoupling of oxidative phosphorylation,",ATP,,,,Reduction,Y
"Increased, water retention in foot",1139,KE,Increase,water retention in foot,,,,,Increase,Y
"Decreased, Reproductive Success",1141,KE,Decrease,Reproductive Success,,,,,Decrease,Y
"Decreased, Reproductive Success",1141,AO,Decrease,Reproductive Success,,,,,Decrease,Y
"Increased, valve movement",1142,KE,Increase,valve movement,,,,,Increase,Y
"Depletion, energy reserves",1143,KE,Depletion,energy reserves,,,,,Depletion,Y
"Inhibition, Iodotyrosine deiodinase (IYD)",1152,MIE,Inhibition,Iodotyrosine deiodinase,IYD,,,IYD,Inhibition,Y
"Inhibition, Deiodinase 3",1153,MIE,Inhibition,Deiodinase 3,,,,,Inhibition,Y
"Increased, Triiodothyronine (T3) in tissues",1154,KE,Increase,Triiodothyronine,,tissues,,T3,Increase,Y
"Inhibition, Pendrin",1155,MIE,Inhibition,Pendrin,,,,,Inhibition,Y
"Inhibition, Dual oxidase",1156,MIE,Inhibition,Dual oxidase,,,,,Inhibition,Y
"Activation, Hepatic nuclear receptor(s)",1157,MIE,Activation,Hepatic nuclear receptor(s),,,,,Activation,Y
"Increased, Hepatic thyroid hormone uptake/transport",1158,KE,Increase,Hepatic thyroid hormone uptake,Hepatic thyroid hormone transport,,,,Increase,Y
"Increased, oocyte maturation",1161,KE,Increase,oocyte maturation,,,,,Increase,Y
"Increased, Reproductive Success",1163,KE,Increase,Reproductive Success,,,,,Increase,Y
"Increased, Reproductive Success",1163,AO,Increase,Reproductive Success,,,,,Increase,Y
"Increased, Population",1164,AO,Increase,Population,,,,,Increase,Y
"Anticoagulant rodenticide interferes with carboxylation of Gla proteins in bone, Impairment of post-translational modification (carboxylation) of osteocalcin",1169,MIE,interference,Anticoagulant rodenticide,carboxylation of Gla proteins in bone,Impairment,post-translational modification (carboxylation) of osteocalcin,,interference,Y
"modulation, Genes/proteins that regulate hepatocyte fate",1170,KE,modulation,hepatocyte fate,Genes,proteins,,,modulation,Y
"Increase, Clonal Expansion / Cell Proliferatin to form Pre-Neoplastic Altered Hepatic Foci",1171,KE,Increase,Clonal Expansion,Cell Proliferatin,Pre-Neoplastic Altered Hepatic Foci,,,Increase,Y
"Activation, NADPH Oxidase",1174,MIE,Activation,NADPH Oxidase,,,,,Activation,Y
"Decreased, sodium conductance 2",1176,KE,Decrease,sodium conductance 2,,,,GABA,Decrease,Y
"Decreased, GABA release",1179,KE,Decrease,GABA release,GABA,,,,Decrease,Y
"Activation, Estrogen receptor",1181,MIE,Activation,Estrogen receptor,,,,ER,Activation,Y
"Increase, Cell Proliferation (Epithelial Cells)",1182,KE,Increase,Cell Proliferation,Epithelial Cells,,,,Increase,Y
"Decreased, Apoptosis (Epithelial Cells)",1183,KE,Decrease,Apoptosis,Epithelial Cells,,,,Decrease,Y
"Increased, ER binding to DNA (classical pathway) ",1187,KE,Increase,ER binding to DNA,classical pathway,,,DNA,Increase,Y
"Increased, ER binding to T.F. to DNA (non-classical pathway)",1188,KE,Increase,ER binding to T.F. to DNA,non-classical pathway,,,DNA,Increase,Y
"Increased, Ductal Hyperplasia ",1192,AO,Increase,Ductal Hyperplasia ,,,,,Increase,Y
"N/A, Breast Cancer",1193,AO,,Breast Cancer,,,,,,Y
"Increase, DNA damage",1194,MIE,Increase,DNA damage,,,,DNA,Increase,Y
"Increase, DNA damage",1194,KE,Increase,DNA damage,,,,ER/DNA,Increase,Y
"Increase, DNA damage",1194,AO,Increase,DNA damage,,,,ER/DNA,Increase,Y
"Suppression, IL-2 and IL-4 production",1202,KE,Suppression,IL-2 production,IL-4 production,,,DNA,Suppression,Y
"Activation, Juvenile hormone receptor",1205,MIE,Activation,Juvenile hormone receptor,,,,,Activation,Y
"Induction, Doublesex1 gene",1206,KE,Induction,Doublesex1 gene,,,,,Induction,Y
"Increased, Male offspring",1208,AO,Increase,Male offspring,,,,,Increase,Y
"Induction, Male reproductive tract",1209,KE,Induction,Male reproductive tract,,,,,Induction,Y
"Alteration, Food-web structures",1210,AO,Alteration,Food-web structures,,,,,Alteration,Y
"Altered gene expression specific to CAR activation, Hepatocytes",1214,KE,Alteration,gene expression specific,CAR activation,Hepatocytes,,,Activation,Y
"TRPA1 activation, TRPA1 Receptor",1215,MIE,activation,TRPA1,TRPA1 Receptor,,,TRPA1,Activation,Y
"Opening of calcium channel, Calcium influx",1218,KE,Opening,calcium channel,Calcium influx,,,,,Y
Trigeminal nerve activation,1220,KE,activation,Trigeminal nerve,,,,,Activation,Y
"SP (Substance P) release, Local increase of SP",1222,KE,release,Substance P,SP,Local increase,,,Increase,Y
"Trigeminal and/or vagal nerve excitation causes Airway Hyper-responsiveness,Cough, Dyspnea",1223,AO,,Cough,Dyspnea,nerve excitation,Airway Hyper-responsiveness,,,Y
"Increased Respiratory irritability and Chronic Cough, ",1226,AO,Increase,Respiratory irritability,Chronic Cough,,,,Increase,Y
"Altered, Gene Expression",1239,KE,alteration,Gene Expression,,,,,alteration,Y
"Altered, Ca2+-calmodulin activated signal transduction",1243,KE,alteration,Ca2+-calmodulin activated signal transduction,,,,Ca2+-,alteration,Y
"Decrease, Lung function",1250,AO,Decrease,Lung function,,,,,Decrease,Y
Binding to (interferes with) topoisomerase II enzyme,1252,MIE,Binding,interference,topoisomerase II enzyme,,,,Binding,Y
 MLL chromosomal translocation,1253,KE,translocation,MLL chromosomal,,,,,translocation,Y
Infant leukaemia,1254,AO,,leukaemia,Infant,,,,,Y
induced spawning,1255,KE,Induction,spawning,,,,,Induction,Y
increased mantel display,1256,KE,Increase,mantel display,,,,,Increase,Y
Induced parturition,1257,KE,Induction,parturition,,,,,Induction,Y
Decompartmentalization,1258,MIE,Decompartmentalization,Decompartmentalization,,,,,,Y
narcosis,1259,MIE,,narcosis,,,,,,Y
Direct mitochondrial inhibition,1260,MIE,inhibition,mitochondrial,,,,,inhibition,Y
Mitochondrial impairment,1261,MIE,Impairment,Mitochondrial,,,,,Impairment,Y
Mitochondrial impairment,1261,KE,Impairment,Mitochondrial,,,,,Impairment,Y
Apoptosis,1262,KE,,Apoptosis,,,,,Apoptosis,Y
Apoptosis,1262,AO,,Apoptosis,,,,,Apoptosis,Y
Necrosis,1263,AO,,Necrosis,,,,,Necrosis,Y
"Increase, Nuclear receptor E75b gene expression",1264,KE,Increase,Nuclear receptor E75b gene expression,,,,E75b,Increase,Y
"Increase, Fushi tarazu factor-1 gene expression",1265,KE,Increase,Fushi tarazu factor-1 gene expression,,,,,Increase,Y
"Decrease, Circulating crustacean cardioactive peptide",1266,KE,Decrease,Circulating crustacean cardioactive peptide,,,,,Decrease,Y
"Decrease, Ecdysis motoneuron bursts",1267,KE,Decrease,Ecdysis motoneuron bursts,,,,,Decrease,Y
"Decrease, Excitatory postsynaptic potential",1268,KE,Decrease,Excitatory postsynaptic potential,,,,,Decrease,Y
"Increase, COX-2 expression",1269,KE,Increase,COX-2 expression,,,,COX-2,Increase,Y
Inactivation of PPARγ,1270,MIE,Inactivation,PPARγ,,,,PPAR ,Activation,Y
Activation of TGF-β signaling,1271,KE,Activation,TGF-β signaling,,,,TGF-β,Activation,Y
Collagen Deposition,1275,KE,Deposition,Collagen,,,,,Deposition,Y
Lung fibrosis,1276,AO,,fibrosis,Lung,,,,Fibrosis,Y
Reproductive failure,1277,AO,,reproductivity,failure,,,,,Y
ROS formation,1278,KE,formation,ROS,,,,ROS,Formation,Y
"Increase, Oxidative Stress / Activation, PMK-1 P38 MAPK",1279,KE,Increase,Oxidative Stress,Oxidative Activation,PMK-1 P38 MAPK,,,Increase,Y
"Activation, HIF-1",1280,KE,Activation,HIF-1,,,,HIF-1,Activation,Y
"Increased, DNA Damage-Repair",1281,KE,Increase,DNA Damage-Repair,,,,DNA,Increase,Y
"Activation, JAK/STAT pathway",1282,KE,Activation,JAK pathway,STAT pathway,,, JAK/STAT,Activation,Y
"Activation, TGF-beta pathway",1283,KE,Activation,TGF-beta pathway,,,,TGF,Activation,Y
"Up Regulation, SREBF2",1284,KE,Up Regulation,SREBF2,,,,SREBF2,Up Regulation,Y
"Up Regulation, Unsaturated fatty acid",1285,KE,Up Regulation,Unsaturated fatty acid,,,,,Up Regulation,Y
"Down Regulation, GSS and GSTs gene",1286,KE,Down Regulation,GSS and GSTs gene,,,,GSS/GSTs,Down Regulation,Y
Glutathione synthesis,1287,KE,synthesis,Glutathione,,,,,synthesis,Y
"Activation, 3-hydroxy-3-methylglutaryl-CoA reductase gene",1288,KE,Activation,3-hydroxy-3-methylglutaryl-CoA reductase gene,,,,,Activation,Y
Perturbation of cholesterol,1289,KE,Perturbation,cholesterol,,,,,Perturbation,Y
Hepatotoxicity,1291,AO,,Hepatotoxicity,,,,,Toxicity,Y
"Activation, JNK",1292,KE,Activation,JNK,,,,JNK,Activation,Y
"Activation, FOXO",1293,KE,Activation,FOXO,,,,FOXO,Activation,Y
"Inhibition, Wnt pathway",1294,KE,Inhibition,Wnt pathway,,,,,Inhibition,Y
Defect of Embryogenesis,1295,KE,Defection,Embryogenesis,,,,,,Y
"Increase, cytosolic fatty acid",1305,KE,Increase,cytosolic fatty acid,,,,,Increase,Y
"Inhibit, serotonin transporter activity",1316,KE,Inhibition,serotonin transporter activity,,,,,Inhibition,Y
"Decreased, serotonin transporter activity",1317,MIE,Decrease,serotonin transporter activity,,,,,Decrease,Y
"Decreased, serotonin transporter activity",1317,KE,Decrease,serotonin transporter activity,,,,,Decrease,Y
"Decreased, extracellular sodium (Na+) ",1318,KE,Decrease,extracellular sodium,Na+,,,Na+,Decrease,Y
"Decreased, extracellular chloride (Cl-)",1319,KE,Decrease,extracellular chloride,Cl-,,,Cl-,Decrease,Y
"Increased, extracellular serotonin",1320,KE,Increase,extracellular serotonin,,,,,Increase,Y
"Increased, intracellular sodium (Na+)",1321,KE,Increase,intracellular sodium,Na+,,,Na+,Increase,Y
"Decreased, intracellular serotonin",1323,KE,Decrease,intracellular serotonin,,,,,Decrease,Y
"Decreased, packaged serotonin",1324,KE,Decrease,packaged serotonin,,,,,Decrease,Y
"Decreased, synaptic release",1325,KE,Decrease,synaptic release,,,,,Decrease,Y
"Inactivated, 5-HTR (serotonin receptors)",1328,KE,Inactivation,5-HTR,serotonin receptors,,,5-HTR,Inactivation,Y
"Reduce expression, BDNF (Brain-derived neurotrophic factor)",1329,KE,Reduction,expression,BDNF,Brain-derived neurotrophic factor,,,Reduction,Y
"Decreased, neuroplasticity",1330,KE,Decrease,neuroplasticity,,,,,Decrease,Y
"Reduced, BDNF (Brain-derived neurotrophic factor)",1335,KE,Reduction,BDNF,Brain-derived neurotrophic factor,,,,Reduction,Y
"Activation, 5-HT2A (Serotonin 2A)",1336,KE,Activation,5-HT2A,Serotonin 2A,,,,Activation,Y
"Increase, hypertension",1343,AO,Increase,hypertension,,,,,Increase,Y
"Increased, seizure",1344,KE,Increase,seizure,,,,,Increase,Y
"Increased, seizure",1344,AO,Increase,seizure,,,,,Increase,Y
"Increased, agitation",1345,AO,Increase,agitation,,,,,Increase,Y
"Increased, depression",1346,AO,Increase,depression,,,,,Increase,Y
"Decreased, extracellular serotonin",1347,KE,Decrease,extracellular serotonin,,,,,Decrease,Y
"Increase, seizure",1348,AO,Increase,seizure,,,,,Increase,Y
"Activated, presynaptic neuron 1",1349,MIE,Activation,presynaptic neuron 1,,,,,Activation,Y
"Activated, presynaptic neuron 1",1349,KE,Activation,presynaptic neuron 1,,,,,Activation,Y
"Increased, glutamate",1350,KE,Increase,glutamate,,,,,Increase,Y
"Activated, NMDA receptor",1351,KE,Activation,NMDA receptor,,,,NMDA,Activation,Y
"Activated, voltage-gated sodium channel",1352,KE,Activation,voltage-gated sodium channel,,,,,Activation,Y
"Inhibit, voltage-gated sodium channel",1353,KE,Inhibition,voltage-gated sodium channel,,,,,Inhibition,Y
"Treat, carbamazepine",1354,KE,Treatment,carbamazepine,,,,,Treatment,Y
"Activated, membrane depolarization",1355,KE,Activation,membrane depolarization,,,,,Activation,Y
